country,crop,year_2022,actual_yield_2022,year_2023,predicted_yield_2023,,,
Bangladesh,"Other tropical fruits, n.e.c.",2022,9878.5,2023,9393.408041,,,
Bangladesh,Papayas,2022,2960.6,2023,3511.182783,,,
Bangladesh,"Peas, dry",2022,1099.4,2023,1138.604359,,,
Bangladesh,"Pigeon peas, dry",2022,1048.5,2023,1127.601084,,,
Bangladesh,Pineapples,2022,22561.2,2023,15761.39314,,,
Bangladesh,Plantains and cooking bananas,2022,15813.6,2023,15095.13642,,,
Bangladesh,Pomelos and grapefruits,2022,13894.5,2023,8542.70978,,,
Bangladesh,Rape or colza seed,2022,1238.7,2023,1194.956866,,,
Bangladesh,Rice,2022,4891.2,2023,4550.967293,,,
Bangladesh,"Seed cotton, unginned",2022,4190.8,2023,4524.268863,,,
Bangladesh,Sesame seed,2022,939.9,2023,924.5875779,,,
Bangladesh,Sorghum,2022,1212.1,2023,1188.47052,,,
